	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
93	1	3	336.0	336.0	304.0	304.0	384.0	384.0	e	2448	1968	366.0	366	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C	320.0	320.0	336.0	336.0	123	192.0	192.0	0	96.0	96.0
94	1	3	223.0	223.0	400.0	400.0	224.0	224.0	e	2398	2015	285.0	285	[2, 1, 4, 2, 3, 1, 4, 3]	[2, 1, 4, 2, 3, 1, 4, 3]	B	448.0	448.0	384.0	384.0	123	192.0	192.0	0	144.0	144.0
95	1	3	192.0	192.0	288.0	288.0	416.0	416.0	e	2367	1744	286.0	286	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C	256.0	256.0	240.0	240.0	123	224.0	224.0	0	128.0	128.0
96	1	3	176.0	176.0	288.0	288.0	640.0	640.0	e	2332	1760	339.0	339	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C	224.0	224.0	128.0	128.0	123	208.0	208.0	0	96.0	96.0
97	0	3			288.0	288.0	288.0	288.0	e	2307	1583	442.0	442	[1, 4, 2, 3, 1, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	A				351.0	123	432.0	432.0	0	224.0	224.0
98	1	3	112.0	112.0	288.0	288.0	432.0	432.0	e	2307	1520	334.0	334	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C	224.0	224.0	192.0	192.0	123	160.0	160.0	0	112.0	112.0
99	0	3	464.0	464.0	144.0	144.0	352.0	352.0	e	2302	2192	329.0	329	[2, 1, 4, 2, 3, 1, 4, 3]	[2, 1, 4, 2, 3, 1, 4, 3]	B	304.0	304.0	576.0	576.0	123	224.0	224.0	1	128.0	128.0
100	0	3	368.0	368.0	304.0	304.0	160.0	160.0	e	2302	2352	475.0	475	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	A	400.0	400.0	528.0	528.0	123	416.0	415.0	1	176.0	176.0
101	0	3			256.0	256.0	368.0	368.0	e	2302	1904	499.0	499	[4, 3, 1, 4, 2, 3, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C		560.0	224.0	224.0	123	384.0	384.0	0	112.0	112.0
102	0	3	193.0	192.0	320.0	320.0	513.0	512.0	e	2302	1984	429.0	429	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C	271.0	271.0	416.0	416.0	123	191.0	191.0	1	80.0	80.0
103	0	3			255.0	255.0	144.0	144.0	e	2302	1216	517.0	517	[1, 4, 2, 3, 1, 4]	[1, 4, 2, 3, 1, 3, 4, 2]	A				224.0	123	368.0	367.0	0	224.0	224.0
104	0	3	480.0	480.0	208.0	208.0	192.0	192.0	e	2302	1776	653.0	653	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	A	160.0	160.0	368.0	368.0	123	224.0	224.0	1	144.0	144.0
105	1	3	176.0	176.0	400.0	400.0	160.0	160.0	e	2302	1648	261.0	261	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	A	176.0	176.0	320.0	320.0	123	320.0	320.0	0	96.0	96.0
106	0	3		208.0	144.0	144.0	416.0	416.0	e	2302	2016	286.0	286	[2, 1, 4, 2, 3, 1, 4, 2]	[2, 1, 4, 2, 3, 1, 4, 3]	B	480.0	480.0	448.0	448.0	123	192.0	192.0	0	128.0	128.0
