	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	reward	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
55	1	2	272.0	270.0	272.0	270.0	256.0	254.0	e	2489.0	1840.0	428.0	428.0	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	256.0	254.0	288.0	286.0	246	256.0	254.0	0	240.0	238.0
56	0	2				270.0	400.0	398.0	e	2477.0	1632.0	455.0	455.0	[4, 3, 1, 4, 3]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B					246	384.0	382.0	0	576.0	574.0
57	1	2	368.0	366.0	272.0	270.0	384.0	382.0	e	2477.0	2128.0	299.0	299.0	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	368.0	366.0	272.0	270.0	246	256.0	254.0	0	208.0	206.0
58	1	2	224.0	222.0	240.0	238.0	272.0	270.0	e	2473.0	1872.0	360.0	360.0	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	400.0	398.0	272.0	270.0	246	224.0	222.0	0	240.0	238.0
59	1	2	208.0	206.0	224.0	222.0	272.0	270.0	e	2443.0	1951.0	344.0	344.0	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	496.0	494.0	272.0	270.0	246	223.0	221.0	0	256.0	254.0
60	1	2	208.0	206.0	240.0	238.0	272.0	270.0	e	2425.0	1824.0	456.0	456.0	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	384.0	382.0	256.0	254.0	246	240.0	238.0	0	224.0	222.0
61	0	2			256.0	254.0	240.0	238.0	e	2408.0	1536.0	314.0	314.0	[3, 2, 4, 1, 2, 4, 2]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C		335.0	240.0	238.0	246	240.0	238.0	0	224.0	222.0
62	1	2	176.0	174.0	288.0	286.0	368.0	366.0	e	2408.0	1953.0	283.0	283.0	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	321.0	319.0	352.0	350.0	246	224.0	222.0	0	224.0	222.0
63	1	2	192.0	190.0	240.0	238.0	240.0	238.0	e	2408.0	1648.0	311.0	311.0	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	288.0	286.0	256.0	254.0	246	224.0	222.0	0	208.0	206.0
64	1	2	288.0	286.0	240.0	238.0	272.0	270.0	e	2407.0	1919.0	344.0	344.0	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	368.0	366.0	304.0	302.0	246	192.0	189.0	0	255.0	254.0
